GO	term	class	p	p_corr	n_genes	n_study	n_go	study_genes	per	class_label
GO:0045892	negative regulation of DNA-templated transcription	biological_process	5.362466108989508e-05	0.002473345669721599	63	4582	433	['TGFB1', 'CRYAB', 'CDKN2A', 'BMP2', 'BMP4', 'PARP1', 'MYBBP1A', 'LIMS1', 'SET', 'SFPQ', 'SFRP1', 'SFRP2', 'ILF3', 'CALCA', 'KHDRBS1', 'UBE2I', 'PDGFB', 'PTPRK', 'SNX6', 'CENPF', 'CTCF', 'BASP1', 'GCLC', 'CALR', 'TRIM28', 'PA2G4', 'BCLAF1', 'PPM1F', 'CBX5', 'SUMO1', 'GAS6', 'SHC1', 'PHB2', 'SMARCA2', 'PLCB1', 'CBX3', 'SMARCC2', 'HMGB2', 'CCAR2', 'SMARCE1', 'CTBP1', 'PFDN5', 'LOXL3', 'HMGA1', 'NIBAN2', 'CTNNB1', 'YWHAQ', 'XRCC5', 'QARS1', 'ENO1', 'NONO', 'LANCL2', 'PBXIP1', 'HSPA8', 'DKK3', 'XRCC6', 'NOTCH1', 'PDCD4', 'HNRNPK', 'HNRNPL', 'SMYD3', 'HDAC1', 'PHB1']	0.14549653579676675	Biological Process
GO:0050766	positive regulation of phagocytosis	biological_process	6.358302645962082e-05	0.002893027703912747	22	4582	48	['DOCK2', 'PTPRC', 'PTPRJ', 'FCGR2A', 'SFTPD', 'CALR', 'PYCARD', 'AZU1', 'MBL2', 'GAS6', 'PRKACA', 'CD47', 'AHSG', 'APOA1', 'APOA2', 'LMAN2', 'SIRPA', 'SIRPB1', 'MERTK', 'IL2RG', 'STAT3', 'ARAP1']	0.4583333333333333	Biological Process
GO:0010718	positive regulation of epithelial to mesenchymal transition	biological_process	6.358302645962082e-05	0.002893027703912747	22	4582	48	['TGFB1', 'TGFB1I1', 'TGFBR2', 'BMP2', 'MTOR', 'AGT', 'RGCC', 'DAB2', 'OLFM1', 'GLIPR2', 'GCNT2', 'CTNNB1', 'MDK', 'FERMT2', 'ADAM8', 'LRG1', 'IL6', 'SDCBP', 'PTK2', 'KDM1A', 'CRB2', 'COL1A1']	0.4583333333333333	Biological Process
GO:0051496	positive regulation of stress fiber assembly	biological_process	6.358302645962082e-05	0.002893027703912747	22	4582	44	['TPM1', 'RHOA', 'ROCK2', 'RHOC', 'S100A10', 'SFRP1', 'MYOC', 'PPM1F', 'FHOD1', 'RGCC', 'CD47', 'PAK1', 'APOA1', 'CCN2', 'LIMCH1', 'PFN2', 'SERPINF2', 'FERMT2', 'CDC42', 'RAC1', 'EPHA1', 'NRP1']	0.5	Biological Process
GO:0032757	positive regulation of interleukin-8 production	biological_process	6.462481422206996e-05	0.002927243266623895	29	4582	65	['DEFA5', 'LILRA2', 'PRG3', 'ADIPOQ', 'CALCA', 'CD14', 'MAVS', 'FCN1', 'LAMTOR5', 'PARK7', 'CAMP', 'PYCARD', 'SERPINE1', 'SYK', 'CD58', 'ELANE', 'PLA2G1B', 'HMGB1', 'CD74', 'APOA2', 'LBP', 'CHI3L1', 'GDF2', 'RAB1A', 'HSPA1A', 'LEP', 'IL6', 'STAT3', 'LGALS9']	0.4461538461538462	Biological Process
GO:0048146	positive regulation of fibroblast proliferation	biological_process	6.552910697892442e-05	0.0029288031397969715	16	4582	29	['IGF1', 'PDGFA', 'GAS6', 'PDGFB', 'PDGFRA', 'AQP1', 'PLA2G1B', 'PDGFC', 'CD74', 'FBLN1', 'AGT', 'DDR2', 'MIF', 'DHX9', 'CDK6', 'FN1']	0.5517241379310345	Biological Process
GO:1990000	amyloid fibril formation	biological_process	6.552910697892442e-05	0.0029288031397969715	16	4582	29	['CDKN2A', 'BACE1', 'FKBP1A', 'MAPT', 'TARDBP', 'USP9X', 'CDSN', 'CD36', 'CAMP', 'GSN', 'B2M', 'FURIN', 'FUS', 'EMD', 'SNCA', 'APP']	0.5517241379310345	Biological Process
GO:0006633	fatty acid biosynthetic process	biological_process	6.552910697892442e-05	0.0029288031397969715	16	4582	28	['PNLIPRP2', 'ABCD3', 'ACSM2A', 'CBR4', 'PNLIPRP1', 'PLA2G1B', 'LIPG', 'ACLY', 'FASN', 'OXSM', 'HSD17B8', 'LIPC', 'LPL', 'MLYCD', 'PNLIP', 'ACACA']	0.5714285714285714	Biological Process
GO:0097435	supramolecular fiber organization	biological_process	6.845728001857511e-05	0.0030328376555597684	12	4582	18	['COL3A1', 'BAX', 'SNCA', 'FKBP1A', 'COL5A1', 'BASP1', 'MAPT', 'MFAP4', 'LTBP2', 'BID', 'HSP90AB1', 'CST3']	0.6666666666666666	Biological Process
GO:0006418	tRNA aminoacylation for protein translation	biological_process	6.845728001857511e-05	0.0030328376555597684	12	4582	18	['LARS1', 'QARS1', 'NARS1', 'EPRS1', 'MARS1', 'VARS1', 'AARS1', 'IARS1', 'IARS2', 'GARS1', 'HARS1', 'RARS1']	0.6666666666666666	Biological Process
GO:0032212	positive regulation of telomere maintenance via telomerase	biological_process	7.316958251509247e-05	0.003200686008595414	14	4582	23	['CCT3', 'CCT5', 'CCT8', 'TCP1', 'DKC1', 'PTGES3', 'HNRNPA1', 'CCT6A', 'CCT7', 'CCT4', 'CCT2', 'HNRNPD', 'HSP90AA1', 'CTNNB1']	0.6086956521739131	Biological Process
GO:0017148	negative regulation of translation	biological_process	7.319656152713006e-05	0.003200686008595414	31	4582	72	['TYMS', 'RIDA', 'EPRS1', 'DHX36', 'IGF2BP1', 'IGF2BP3', 'SERBP1', 'ILF3', 'PRG3', 'FMR1', 'RACK1', 'IGFBP5', 'GAPDH', 'YBX1', 'CALR', 'RPS3', 'EIF4A3', 'CSNK2A1', 'EIF4EBP1', 'SHMT1', 'LARP1', 'LSM14A', 'NCL', 'RPL13A', 'EIF2AK2', 'CNOT1', 'CAPRIN1', 'DDX3X', 'DDX6', 'EPHA4', 'SYNCRIP']	0.4305555555555556	Biological Process
GO:0006909	phagocytosis	biological_process	7.784650105241195e-05	0.003389342703148332	21	4582	41	['TYRO3', 'CORO1A', 'MESD', 'CD14', 'JMJD6', 'ANXA1', 'AXL', 'AGER', 'ANXA3', 'CORO1C', 'PECAM1', 'ANXA11', 'GAS6', 'LRP1', 'ELANE', 'CD302', 'MERTK', 'ITGB1', 'ITGB2', 'LDLR', 'PLD4']	0.5121951219512195	Biological Process
GO:0005975	carbohydrate metabolic process	biological_process	7.833561353984976e-05	0.0033960001389099674	25	4582	53	['SIAE', 'AMY1B', 'TKFC', 'CS', 'B4GALNT1', 'GALK2', 'AMY2A', 'AMY2B', 'GALM', 'GLB1', 'GUSB', 'TFF1', 'SHPK', 'ST8SIA5', 'XYLB', 'ALDH2', 'GALNT7', 'NAGPA', 'AKR1B1', 'RPE', 'TALDO1', 'PGM1', 'B3GAT3', 'PGM5', 'AKR7A2']	0.4716981132075472	Biological Process
GO:1904646	cellular response to amyloid-beta	biological_process	8.990939693963784e-05	0.003881088967894367	18	4582	40	['IGF1', 'SYK', 'LRP1', 'NGFR', 'SNX6', 'FYN', 'LGMN', 'CACNA2D1', 'AGER', 'CD36', 'PRNP', 'VCAM1', 'ICAM1', 'IGF1R', 'EPHA4', 'ITGA4', 'ATP1A3', 'APP']	0.45	Biological Process
GO:0031589	cell-substrate adhesion	biological_process	9.191684535519812e-05	0.003950859808224919	11	4582	16	['ATP1B2', 'ITGAV', 'ITGA6', 'ITGB1', 'ITGB3', 'CORO1A', 'CDH11', 'FAT2', 'ITGA2', 'VWF', 'ITGA5']	0.6875	Biological Process
GO:0030593	neutrophil chemotaxis	biological_process	9.680902668773267e-05	0.0041260252260455176	21	4582	42	['S100A8', 'S100A9', 'S100A12', 'GBF1', 'CCL28', 'BSG', 'TREM1', 'SYK', 'PLA2G1B', 'PF4', 'PF4V1', 'PPBP', 'CCL27', 'CXCL5', 'PPIA', 'PPIB', 'ITGB2', 'JAML', 'EDN3', 'CXADR', 'LGALS3']	0.5	Biological Process
